RegionID,SizeRank,RegionName,RegionType,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
394299,251,"Abilene, TX",msa,TX,207817,206567,206333,208000,212967,216600,219933,219633,217982,216316,214969,212621,211787,206775,205808,207275,213933,218683,218050,219750,225000,230000,231667,233333,236333,241750,240083,242083,243000,242967,244600,238767,236133,231167,232333,233000,232667,232333,239133,252800,269800,284583,287917,282583,277967,274633,275783,273150,269817,262300,254967,251633,252633,255633,254633,253000,248150,245817,244150,242333,240633
394707,252,"Iowa City, IA",msa,IA,270917,269933,269933,268300,269267,270933,272567,273233,271567,269933,266633,265667,268333,270667,267567,262400,263400,268967,268667,,,,,235417,232667,237633,245217,259033,269067,276450,281633,278300,274000,270667,272333,281667,286633,289967,289933,293300,298300,304333,307650,307650,306617,303300,303286,298986,298952,292967,292300,292333,304967,316600,329600,331300,327967,319967,316600,314967,315117
394351,253,"Auburn, AL",msa,AL,281169,279536,277483,279867,284533,287259,288926,289226,289600,290633,290633,293600,292733,292722,293389,296244,299439,303847,305058,308575,308803,314603,316603,317650,319650,319650,324856,332856,342413,346524,346158,347900,349267,347967,348000,348333,353333,355483,362117,365117,369300,375500,379167,381833,379617,380016,381416,382783,377883,373150,369500,376400,384033,389949,387516,386516,383867,387200,388817,387193,382177
394860,254,"Midland, TX",msa,TX,343967,344933,347633,346300,342667,338333,333000,328330,322997,321330,321000,321333,319633,316633,314967,316667,320000,324400,327300,327267,324533,321633,318667,317000,313667,313333,315000,321567,326567,333217,335650,335650,330667,331333,334333,341000,341300,344633,346967,356983,367317,374983,380000,379667,381300,374633,368300,363333,361633,363300,367800,380833,394167,401300,400967,397600,390967,384300,379317,375950,372950
753869,255,"Bloomington, IL",msa,IL,149050,151317,155400,160650,162817,162133,160433,158233,153667,147033,141733,137083,136333,135000,142550,151617,162283,168950,172283,172850,167850,161200,154533,148783,146917,152317,169767,183300,198000,198000,199983,195283,195250,196567,196600,197300,197300,205633,209967,215000,220833,230800,239000,243133,242650,236117,226150,226633,234633,239300,242667,247967,253300,255783,255783,252417,246417,236117,230150,222000,220667
394671,255,"Hattiesburg, MS",msa,MS,191600,191567,192933,196267,202967,206600,211633,214967,219783,221450,221450,220617,220100,216083,213800,213817,221133,224300,224467,216833,210500,204133,199783,192917,192917,198267,209967,218333,231633,241283,246117,237817,234317,237783,242783,243267,238300,241600,244633,249300,252483,252550,252850,249667,256100,261133,264467,258300,254867,254317,262617,272717,274967,273325,269658,272625,274300,276267,277633,278967,277333
394944,257,"Oshkosh, WI",msa,WI,188600,193567,198233,199017,198717,198717,199600,193233,186567,179900,179900,179900,181600,184933,188267,189900,190900,194233,195933,196600,196300,194600,193783,193117,196450,198933,204867,211866,221866,223599,224950,221650,224317,222633,222600,221567,231567,243233,254933,258267,259933,256600,258267,261600,268233,268267,263117,256450,249783,249117,255783,270750,283267,290633,290633,290300,287967,287967,284933,283233,278750
394555,258,"Eau Claire, WI",msa,WI,223783,226600,228267,232917,238583,245250,248900,246917,241917,235250,231267,229633,232967,237875,243508,245525,247583,251917,256267,259417,256083,251383,243250,238250,231583,236567,241567,251900,255267,248600,238300,224933,221575,218208,211542,194900,176600,161633,164967,178267,,212233,225567,228267,229717,229750,231417,229967,213267,235600,262267,302267,309933,314117,314150,307450,303100,298067,297767,292967,291300
394651,259,"Greenville, NC",msa,NC,177267,179300,179983,186983,190300,201983,209430,212746,214380,213267,216467,213067,204733,197050,193783,195450,204467,204167,212467,209633,211633,206633,206633,208217,215667,223000,231383,233933,238100,243617,254950,260117,262633,269633,275300,280633,273300,264200,260600,264450,277183,279117,278617,272650,273483,269133,264967,260800,255833,256650,259983,268317,273633,278300,278283,276317,270983,267667,264330,263163,261330
394428,260,"Burlington, NC",msa,NC,217150,210483,210483,211333,224667,235417,239717,236200,235783,231483,231667,225000,225000,224817,232483,239150,246000,248833,258733,265400,273233,269000,264000,259833,255833,260500,273667,290333,300667,300000,302483,302450,304100,309933,318233,323250,320767,319150,317483,314150,314165,317162,322995,325412,327232,328565,326133,317950,310617,303867,307200,313033,322800,326167,329111,326444,324444,318333,318000,316667,316667
